位置,大小,价格,单位
鼓楼公寓精装修家电家具齐全，鼓楼繁华地段，医院隔壁 鼓楼公寓,2室2厅|77平米|3/6层崔贵波 整租 朝南,1550 ,元/月
安厦好房 山水檀溪檀园精装两室 山水檀溪檀园,2室2厅|85平米|14/15层卢旭芳 整租 南北,2500 ,元/月
安厦好房 恒大一室精装修楼层好 家具家电齐全拎包入住 恒大名都,1室1厅|39平米|10/33层张曼 整租 南北,1600 ,元/月
安厦出租，襄城檀溪府 邸，豪装两房，家具家电齐全，拎包入住 檀溪府邸,2室2厅|83平米|12/24层辛美娜 整租 朝南,2000 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|82平米|2/26层冯静雯 整租 南北,1800 ,元/月
恒大名都2室精装家具家电其全 拎包入住 安厦优选 恒大名都,2室2厅|89平米|17/23层郝芳 整租 南北,2000 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|85平米|16/23层李莉 整租 南北,1700 ,元/月
鼓楼北街精致小一房一厅，带家具，家电，可拎包入住,1室1厅|48平米|4/6层彭军华 整租 南北,1100 ,元/月
安厦好房 檀溪中路学府花园 三室精装家具家电齐全 看房方便 学府花园,3室2厅|107平米|2/7层卢旭芳 整租 南北,2000 ,元/月
襄城檀溪恒大名都对面檀溪府 邸2室精装家具家电齐全 朝南阳台 檀溪府邸,2室2厅|85平米|5/24层夏萍 整租 南北,1700 ,元/月
檀溪恒大名都对面檀溪府 邸精装2室家具家电齐全 安厦好房 檀溪府邸,2室2厅|83平米|2/24层冯静雯 整租 朝南,1900 ,元/月
安嘉 骧龙国际3室2厅2卫，南北双阳台，中间楼层！ 骧龙国际,3室2厅|140平米|9/30层周明克 整租 南北,1500 ,元/月
安厦好房 檀溪新居两室简单家具 电梯房小区环境好 看房方便 檀溪新居,2室2厅|80平米|7/15层李莉 整租 南北,1200 ,元/月
檀溪府 邸 精装电梯两室 家具家电齐全 拎包入住 安厦好房 檀溪府邸,2室2厅|80平米|15/23层郝芳 整租 南北,1700 ,元/月
安厦好房檀溪吉阳酒店后面电梯房精装修两室家具家电齐全 檀溪新居,2室2厅|85平米|4/15层郝芳 整租 南北,1700 ,元/月
安厦好房 檀溪府.邸精装2室2厅1卫 中间楼层 拎包入住 檀溪府邸,2室2厅|87平米|17/26层张翠 整租 朝南,1500 ,元/月
安厦好房 东门楼梧桐湾对面的23中家属院大三室家具家电齐全 冠通梧桐湾,3室2厅|136平米|3/7层张曼 整租 南北,2200 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|17/24层张曼 整租 南北,1800 ,元/月
安厦好房 檀溪恒大名都对面小区三室精装 家具家电齐全看房方便 檀溪府邸,3室2厅|139平米|9/26层张曼 整租 南北,2600 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|85平米|5/25层张曼 整租 南北,1700 ,元/月
北街33中隔壁昭明，机关单位院，精装修家电齐全， 景苑1区,2室2厅|120平米|3/6层崔贵波 整租 朝南,2000 ,元/月
襄城 檀溪 恒大名都 精装单身户型 家电齐全 拎包住仅此一套 恒大名都,1室1厅|39平米|22/32层吴小梅 整租 朝南,1300 ,元/月
襄州人民医院精装三室，中间楼层，拎包入住,3室1厅|90平米|4/6层王丽 整租 朝南,1500 ,元/月
安厦好房 新吉阳附近檀溪新居 两室精装家具家电齐全 看房预约 檀溪新居,2室2厅|85平米|4/15层郝芳 整租 南北,1800 ,元/月
安嘉 恒大二期经典三室学曲房 恒大名都,3室2厅|120平米|17/18层胡庆玲 整租 南北,2000 ,元/月
安厦好房 檀溪 家具齐全 檀溪府邸,2室2厅|82平米|25/26层卢旭芳 整租 朝北,1500 ,元/月
喜欢怀旧风的看过来，房子在鼓楼老五中附近，价格亲民,2室1厅|50平米|3/3层彭军华 整租 东西,400 ,元/月
安厦好房 檀溪新居两室精装修 楼层好 家具家电齐全 檀溪新居,2室2厅|85平米|7/15层张曼 整租 南北,1200 ,元/月
安厦好房 檀溪府.邸精装2室2厅1卫 拎包入住 檀溪府邸,2室2厅|88平米|13/26层张翠 整租 朝南,1500 ,元/月
恒大名都二期 精装电梯两室 家具家电齐全 均价低 安厦好房 恒大名都,2室2厅|72平米|22/23层辛美娜 整租 南北,1800 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|13/23层张曼 整租 南北,1700 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|82平米|25/26层卢旭芳 整租 南北,1800 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|16/25层张曼 整租 南北,1700 ,元/月
安厦好房 檀溪图书馆旁檀溪新居两室家具家电齐全 檀溪新居,2室2厅|85平米|7/7层张曼 整租 南北,1800 ,元/月
襄城红花园两室一厅出租,2室2厅|78平米|7/7层聂雨菡 整租 南北,1500 ,元/月
安厦好房 恒大名都对面小区精装修 家具家电齐全 看房方便 檀溪府邸,2室2厅|85平米|15/30层卢旭芳 整租 南北,1600 ,元/月
安厦 襄城檀溪路东方小区简装二室 家具家电齐全 拎包入住 东方社区,2室2厅|77平米|3/6层徐娟 整租 南北,1300 ,元/月
安厦力荐，襄城檀溪新居，两室两厅一卫，简单家具，阳台朝南 檀溪新居,2室2厅|80平米|7/15层余传雄 整租 朝南,1200 ,元/月
安厦好房 檀溪恒大名都对面小区 三室家具家电齐全 看房方便 檀溪府邸,3室2厅|120平米|5/26层张曼 整租 南北,2500 ,元/月
安厦优选 襄城胜利街 荟苑 江华小区中间楼层 2室2厅一千二 荟苑小区,2室2厅|72平米|4/6层王春红 整租 南北,1200 ,元/月
安厦好房 檀溪恒大名都对面小区三室精装 家具家电齐全看房方便 檀溪府邸,3室2厅|139平米|13/26层卢旭芳 整租 南北,2600 ,元/月
檀溪府 邸大三室精装修价格便宜诚心出售随时看房 檀溪府邸,3室2厅|139平米|5/32层姜佳星 整租 南北,2200 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|82平米|5/26层李莉 整租 南北,1700 ,元/月
胜利街静雅苑 精装2室 家电齐全拎包住 1400每月 静雅苑,2室1厅|75平米|6/7层汪亮 整租 南北,1400 ,元/月
山水檀溪明园电梯房 精装1室 家电齐全拎包住 1800每月 山水檀溪明园,1室1厅|50平米|6/9层汪亮 整租 南北,1800 ,元/月
南街一实小附近中间楼层两居室，家具家电齐全，看房方便 民主公寓,2室1厅|60平米|3/6层陈月华 整租 南北,1500 ,元/月
鱼梁洲银杏家园，低楼层，小面积房子 银杏家园,1室1厅|50平米|1/6层张志群 整租 南北,450 ,元/月
恒大对面 精装二室二厅一卫家具家电齐全 月租1500 檀溪府邸,2室2厅|85平米|17/23层杨洁 整租 南北,1500 ,元/月
万山陶瓷厂家属院41中附近大2室家私齐全拎包入住 檀溪路万陶小区,2室2厅|82平米|6/6层胡金凤 整租 南北,650 ,元/月
山水天成2室-2厅-1卫整租 山水天成,2室2厅|92平米|10/23层 整租 朝北,2500 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|17/24层张曼 整租 南北,1800 ,元/月
恒大名都附近小区精装修 三室二厅一卫家电齐全拎包入住 檀溪府邸,3室2厅|120平米|23/23层方辉 整租 南北,2200 ,元/月
襄城22中四中附近老干局3室保养地干净家具家电全 审计局家属院,3室2厅|140平米|5/7层朱桂芳 整租 南北,2500 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|82平米|3/26层李莉 整租 南北,1800 ,元/月
安厦好房 檀溪恒大名都对面小区 两室精装家具家电齐全 檀溪府邸,2室2厅|82平米|19/23层李莉 整租 南北,1800 ,元/月
安厦好房 鼓楼金兰实验小学附近工行家属院 简单家具家电 花园公寓,2室2厅|80平米|4/7层李莉 整租 南北,1700 ,元/月
安厦好房 檀溪恒大名都 两室家具家电齐全 看房方便 恒大名都,1室1厅|40平米|21/32层李莉 整租 南北,1600 ,元/月
山水檀溪明园 1室1厅1卫 山水檀溪明园,1室1厅|42平米|5/9层刘旭女士 整租 朝南,1600 ,元/月
檀溪滨湖路精装修 二室二厅一卫家电齐全拎包入住 檀溪府邸,2室2厅|85平米|16/23层方辉 整租 南北,1800 ,元/月
鼓楼 昭明 一实小对面 家属院 精装两室 鼓楼公寓,2室2厅|95平米|4/6层丁月 整租 南北,1600 ,元/月
暖气房 二桥檀溪明园 电梯精装一室 拎包入住 停车方便 山水檀溪明园,1室1厅|50平米|7/9层丁月 整租 南北,1700 ,元/月
檀溪中路 山水檀溪秀园 电梯房出租 大3室 租办公 靠路边 山水檀溪秀园,3室2厅|110平米|9/18层黄虹玲 整租 南北,1600 ,元/月
安厦 襄城襄轴家属院2室2厅1卫好楼层出租 轴承厂家属区,2室2厅|65平米|2/7层臧升群 整租 南北,900 ,元/月
襄城 36中学育才小区 拎包入住 超市药房菜市场200米 六化建育才小区,2室2厅|80平米|7/7层王海月 整租 南北,1000 ,元/月
景苑1区3室-2厅-2卫合租 景苑1区,3室2厅|138平米|1/8层 合租 朝南,800 ,元/月
业主急租 万山襄轴家属院1室1厅 家私齐全550每月急租 轴承厂家属区,1室1厅|45平米|3/4层秦萍萍 整租 南北,550 ,元/月
安厦优选 襄城胜利街 荟苑 江华小区中间楼层 2室2厅一千二 荟苑小区,2室2厅|72平米|4/6层王春红 整租 南北,1200 ,元/月
檀溪路市政府对面东方小区，一楼可以办公居住 东方社区,2室1厅|83平米|1/12层彭军芳 整租 朝南,1400 ,元/月
襄城胜利街 六化建小区 拎包入住 六化建家属楼,2室2厅|90平米|5/7层吕俊锋 整租 朝南,1200 ,元/月
北街雅斯超市旁三室一厅出租 鼓楼公寓,3室1厅|120平米|2/6层谢虹 整租 南北,1800 ,元/月
东方小区电梯房，家具家电齐全，拎包入住 东方社区,2室2厅|83平米|12/15层彭军芳 整租 朝南,1500 ,元/月
山水檀溪明园电梯房 精装1室 家电齐全1800每月 山水檀溪明园,1室1厅|50平米|6/9层汪亮 整租 南北,1800 ,元/月
鼓楼古董房，两居室，非常简陋，讲究的人不要打扰 鼓楼商场福利路家属院,2室1厅|60平米|3/3层陈月华 整租 南北,400 ,元/月
襄城东门口3楼好房出租，家电家具齐全，东门口建行附近出门公交 油脂小区,2室2厅|66平米|3/7层崔波 整租 朝南,1300 ,元/月
天缘居 3室2厅1卫 主卧 南 暂无小区,3室2厅|25平米|4/7层贾先生 合租 朝南,700 ,元/月
鼓楼公寓 2室1厅1卫 鼓楼公寓,2室1厅|50平米|1/2层金女士 整租 朝南,600 ,元/月
万山轴承厂41中附近 精装修 2室好楼层 拎包入住 轴承厂家属区,2室2厅|65平米|2/7层胡金凤 整租 南北,1000 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|18/23层张曼 整租 南北,1900 ,元/月
胜利街高架桥附近新36中附近两室一厅3楼 六化建育才小区,2室1厅|80平米|3/7层汤琴 整租 南北,1000 ,元/月
家乐福商圈 38中对面 建安小区 停车方便 拎包入住 建安小区,2室1厅|61平米|3/6层陈红梅 整租 朝南,1300 ,元/月
襄城北街旺铺出租，可转让，利用空间大急租 鼓楼公寓,4室2厅|400平米|1/5层万言 整租 南北,7000 ,元/月
安厦好房 东门口华电寓苑对面鼎盛源 两室家具家电齐全 中房鼎盛源,2室1厅|56平米|3/6层李莉 整租 南北,1500 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|85平米|18/26层李莉 整租 南北,1900 ,元/月
阳光花园3室-2厅-2卫整租 阳光花园,3室2厅|111平米|5/7层 整租 朝南,2600 ,元/月
广州市白云区石井中学 2室2厅2卫 暂无小区,2室2厅|25平米|3/8层张姐女士 整租 南北,550 ,元/月
新装修可短租家具家电齐全拎包入住3室2厅湖北文理学院商品房 609研究所,3室2厅|75平米|6/7层陈程 整租 南北,200 ,元/月
陵园路社区1室-1厅-1卫整租 陵园路社区,1室1厅|45平米|5/5层 整租 朝南,1050 ,元/月
檀溪市政府旁电梯房 东方小区 精装2室 家具家电齐停车方便 东方社区,2室2厅|82平米|12/15层张庆锋 整租 南北,1500 ,元/月
家乐福商圈 38中对面 建安小区 停车方便 拎包入住 建安小区,2室1厅|61平米|3/6层陈红梅 整租 朝南,1300 ,元/月
急租急租 铁四院和谐家园精装两室 拎包住 和谐家园,2室1厅|94平米|7/28层李娜 整租 朝南,1400 ,元/月
安厦优选 襄城环城路荟园江华小区中间楼层 2室2厅一千二 荟苑小区,2室2厅|72平米|4/6层王春红 整租 南北,1000 ,元/月
安厦好房襄城 美格丽芬 名人城市 山水檀溪明园 2室2厅1卫 山水檀溪明园,2室2厅|90平米|4/9层王春红 整租 南北,2600 ,元/月
檀溪，府，邸，精装修拎包入住电梯房 安厦好房 檀溪府邸,2室2厅|85平米|18/23层王国荣 整租 南北,1900 ,元/月
"3室2厅2卫1阳台2500元/月超大阳台,周边配套齐全 檀溪府邸",3室2厅|130平米|2/16层刘庆节 整租 朝东,2500 ,元/月
家乐福对面建安小区家具齐全2室通天然气停车40元水电便宜 建安小区,2室2厅|66平米|5/8层胡丽攀 整租 南北,800 ,元/月
鼓楼公寓 1室1厅1卫 鼓楼公寓,1室1厅|35平米|3/4层袁女士 整租 东西,750 ,元/月
襄城区 一桥头老年大学旁闸口居委会家电齐全！拎包入住！ 精信公司生活区,2室1厅|65平米|6/7层窦金芬 整租 南北,900 ,元/月
西门桥职业技术学院家属院一室一厅好房出租 暂无小区,1室1厅|42平米|3/3层刘艳玲 整租 朝南,1500 ,元/月
鼓楼五中附近，一居室，中间楼层，家具家电齐全 昭明台社区,1室1厅|50平米|5/7层陈月华 整租 南北,1200 ,元/月
檀溪万山轴承厂好楼层3室2厅 41中附近 轴承厂家属区,3室2厅|112平米|4/6层钟敏 整租 南北,1000 ,元/月
襄城四中对面，陪读首 选，装修保持好 2室 家具齐拎包入住 生活一区,2室2厅|68平米|3/6层张小琴 整租 南北,2000 ,元/月
安厦好房 沿江大道滨江苑小区 三室精装家具家电齐全 看房方便 滨江苑小区,3室2厅|104平米|5/6层张曼 整租 南北,1800 ,元/月
安厦好房 檀溪恒大名都对面小区 三室家具家电齐全 看房方便 檀溪府邸,3室2厅|120平米|5/26层张曼 整租 南北,2500 ,元/月
安厦优选 襄城环城路荟园江华小区中间楼层 2室2厅一千二 荟苑小区,2室2厅|72平米|4/6层王春红 整租 南北,1000 ,元/月
安厦好房襄城 美格丽芬 名人城市 山水檀溪明园 2室2厅1卫 山水檀溪明园,2室2厅|90平米|4/9层王春红 整租 南北,2600 ,元/月
檀溪，府，邸，精装修拎包入住电梯房 安厦好房 檀溪府邸,2室2厅|85平米|18/23层王国荣 整租 南北,1900 ,元/月
"3室2厅2卫1阳台2500元/月超大阳台,周边配套齐全 檀溪府邸",3室2厅|130平米|2/16层刘庆节 整租 朝东,2500 ,元/月
家乐福对面建安小区家具齐全2室通天然气停车40元水电便宜 建安小区,2室2厅|66平米|5/8层胡丽攀 整租 南北,800 ,元/月
鼓楼公寓 1室1厅1卫 鼓楼公寓,1室1厅|35平米|3/4层袁女士 整租 东西,750 ,元/月
襄城区 一桥头老年大学旁闸口居委会家电齐全！拎包入住！ 精信公司生活区,2室1厅|65平米|6/7层窦金芬 整租 南北,900 ,元/月
西门桥职业技术学院家属院一室一厅好房出租 暂无小区,1室1厅|42平米|3/3层刘艳玲 整租 朝南,1500 ,元/月
鼓楼五中附近，一居室，中间楼层，家具家电齐全 昭明台社区,1室1厅|50平米|5/7层陈月华 整租 南北,1200 ,元/月
檀溪万山轴承厂好楼层3室2厅 41中附近 轴承厂家属区,3室2厅|112平米|4/6层钟敏 整租 南北,1000 ,元/月
襄城四中对面，陪读首 选，装修保持好 2室 家具齐拎包入住 生活一区,2室2厅|68平米|3/6层张小琴 整租 南北,2000 ,元/月
安厦好房 沿江大道滨江苑小区 三室精装家具家电齐全 看房方便 滨江苑小区,3室2厅|104平米|5/6层张曼 整租 南北,1800 ,元/月
安厦好房 檀溪恒大名都对面小区 三室家具家电齐全 看房方便 檀溪府邸,3室2厅|120平米|5/26层张曼 整租 南北,2500 ,元/月
恒大名都 精装二室二厅一卫家具家电齐全 月租2300 恒大名都,2室2厅|90平米|7/26层方辉 整租 南北,2300 ,元/月
恒大名都精装修三室二厅，全新家电齐全，拎包入住 恒大名都,3室2厅|130平米|20/24层万言 整租 南北,2500 ,元/月
安厦好房 檀溪君临山三室精装家具家电齐全 有钥匙看房方便 君临山,3室2厅|120平米|8/15层李莉 整租 南北,2000 ,元/月
安厦好房 胜利街庞公供销社家属院 三室家具家电齐全 看房方便 静雅苑,3室2厅|141平米|5/7层李莉 整租 南北,1600 ,元/月
安厦好房 檀溪路图书馆附近檀溪花园 两室精装家具家电齐全 檀溪花园,2室2厅|65平米|3/7层李莉 整租 南北,1500 ,元/月
六化建36学校后门3 楼一室一厅一厨一卫简装，空调热水器洗衣 暂无小区,1室1厅|55平米|3/5层汤琴 整租 朝南,800 ,元/月
襄阳民发盛特区 2室2厅1卫 暂无小区,2室2厅|91平米|2/32层杨楠 整租 朝南,3000 ,元/月
吉源小区 2室2厅2卫 吉源小区,2室2厅|40平米|2/5层刘旭女士 整租 朝南,800 ,元/月
租檀溪检察院家属院2室精装家具家电齐全，图书馆旁边 山水檀溪明园,2室2厅|88平米|5/7层彭丹 整租 南北,1600 ,元/月
万山小区 1室1厅1卫 暂无小区,1室1厅|40平米|2/4层张先生 整租 朝南,600 ,元/月
二桥头 武商旁精装两室 三楼家具家电齐全 拎包入住 三酒厂家属西院,2室2厅|80平米|4/6层丁月 整租 南北,1200 ,元/月
闸口庞公路23中家属院 精装3室 家具家电齐停车方便 非顶楼 庞公提花织物厂家属院,3室2厅|133平米|6/7层张庆锋 整租 南北,2000 ,元/月
业主急租急急 万山轴承厂2室便宜出租600每月 带部分家私 轴承厂家属区,2室1厅|57平米|5/6层秦萍萍 整租 南北,600 ,元/月
铁路四院中房盛景对面和谐家园，干净清爽，采光好，家具家电齐全 和谐家园,2室2厅|98平米|12/22层李娜 整租 南北,1500 ,元/月
《安厦》优选 襄城东方新区两室两厅 电梯房 精装 家电齐全 东方社区,2室2厅|80平米|12/15层廉敖月 整租 南北,1500 ,元/月
襄城鼓楼4中附近广电家属院精装修拎包入住 审计局家属院,1室1厅|35平米|2/4层曹红艳 整租 南北,1500 ,元/月
檀溪恒大名都1室1厅家具家电齐全 好楼层 看房方便 恒大名都,1室1厅|39平米|11/32层夏萍 整租 南北,1600 ,元/月
东门口鼎盛苑电梯房小三室精装修家具家电可以配 中房鼎盛源,3室1厅|103平米|12/14层李莉 整租 南北,2000 ,元/月
汉丹电器厂2室-1厅-1卫整租 汉丹电器厂,2室1厅|71平米|5/6层 整租 朝南,600 ,元/月
安厦 恒大名都精装一室 家具家电齐全 均价低 恒大名都,1室1厅|39平米|10/32层马思维 整租 南北,1600 ,元/月
山水天成3室-2厅-2卫整租 山水天成,3室2厅|130平米|1/23层 整租 朝南,3500 ,元/月
六化建家属楼 2室2厅1卫 六化建家属楼,2室2厅|90平米|7/7层郑燕 整租 南北,1300 ,元/月
鱼梁洲，锦绣家园 3室1厅1卫 暂无小区,3室1厅|90平米|3/6层王女士 整租 朝南,1100 ,元/月
家乐福商圈 38中对面 建安小区 停车方便 拎包入住 建安小区,2室1厅|61平米|3/6层陈红梅 整租 朝南,1300 ,元/月
西门桥农委家属院三室一厅低楼层好房出租 暂无小区,3室1厅|100平米|1/5层刘艳玲 整租 朝南,1580 ,元/月
檀溪中路学府花园，精装三室拎包入住 学府花园,3室2厅|115平米|6/8层吕亚兰 整租 南北,2200 ,元/月
檀溪 山水天成 江景房 精装修 拎包入住 三室两厅两卫 山水天成,3室2厅|20平米|22/26层路晓平 整租 南北,3000 ,元/月
山水檀溪明园附近 3楼 精装1室家电齐全拎包住1200每月 山水檀溪明园,1室1厅|35平米|3/6层汪亮 整租 南北,1200 ,元/月
六化建建行旁1楼90平小院加盖，1000元一个月简装 六化建家属楼,2室2厅|90平米|1/6层李桂群 整租 南北,1000 ,元/月
安厦出租 鼓楼商场旁联达小区精装房两室两厅家具家电齐全 联达小区,2室2厅|95平米|3/4层陈枝敏 整租 南北,2200 ,元/月
襄城二桥头家属院，成熟小区，出行方便 精配厂住宅小区,2室2厅|100平米|2/6层程有哲 整租 南北,1100 ,元/月
仲宣楼公寓，四中旁边两室一厅独立的厨房和卫生间。月租1300 仲宣楼公寓,2室1厅|50平米|1/5层吴莹 整租 南北,1200 ,元/月
檀溪路檀溪新居小高层电梯房家具家电齐全，拎包入住！ 檀溪新居,3室2厅|125平米|3/11层窦凤英 整租 南北,2000 ,元/月
安厦好房 檀溪恒大名都对面小区三室精装 家具家电齐全看房方便 檀溪府邸,3室2厅|139平米|9/26层张曼 整租 南北,2600 ,元/月
安厦好房 檀溪府 邸两室精装修 楼层好 家具家电齐全 檀溪府邸,2室2厅|83平米|13/23层张曼 整租 南北,1700 ,元/月
檀溪路山水家园旁东方小区3室精装好楼层家具家电齐全 东方社区,3室2厅|110平米|3/6层夏萍 整租 南北,2000 ,元/月
滨江苑小区3室-2厅-2卫整租 滨江苑小区,3室2厅|132平米|1/6层 整租 南北,2600 ,元/月
山水檀溪明园电梯房 精装1室 家电齐全拎包住 1800每月 山水檀溪明园,1室1厅|50平米|6/9层汪亮 整租 南北,1800 ,元/月
庞公提花织物厂家属院 3室2厅1卫 庞公提花织物厂家属院,3室2厅|136平米|3/7层张女士 整租 南北,2200 ,元/月
鼓楼财局家属院 中间楼层 拎包入住 停车方便 民安公寓,2室2厅|85平米|1/7层黄虹玲 整租 南北,1700 ,元/月
出租檀溪检察院家属院2室有家具家电！ 盛景名门,2室2厅|88平米|5/6层彭丹 整租 南北,1600 ,元/月
业主急租 万山轴承厂家属院87平2室 1000每月急急急 轴承厂家属区,2室2厅|87平米|3/6层秦萍萍 整租 南北,1000 ,元/月
精装大二室二厅 铁路四院和谐家园 直接入住 停车方便 和谐家园,2室2厅|100平米|23/28层朱森 整租 南北,1100 ,元/月
安厦好房 檀溪君临山三室精装家具家电齐全 有钥匙看房方便 君临山,3室2厅|120平米|8/15层李莉 整租 南北,2000 ,元/月
慧苑2室-2厅-1卫整租 慧苑新区,2室2厅|78平米|4/7层 整租 朝南,1500 ,元/月
东城怡景精装修一室好房出租. 东城逸景,1室1厅|35平米|19/24层于勤琴 整租 南北,1500 ,元/月
襄城春天1600元/月99平米2室2厅1卫1阳台精装，看房方 襄城春天,2室2厅|99平米|5/7层窦凤英 整租 南北,1600 ,元/月
檀溪恒大名都1室1厅家具家电齐全 有钥匙看房方便 恒大名都,1室1厅|39平米|10/32层夏萍 整租 朝南,1600 ,元/月
安厦好房 檀溪中路东方小区旁边襄南家属院 两室家具家电齐全 东方社区,2室2厅|105平米|3/8层李莉 整租 南北,1500 ,元/月
安厦好房 檀溪恒大名都对面小区 两室家具家电齐全 看房方便 檀溪府邸,2室2厅|85平米|16/23层李莉 整租 南北,1700 ,元/月
襄阳市教育局 1室1厅1卫 暂无小区,1室1厅|55平米|2/3层徐老师先生 整租 南北,800 ,元/月
胜利街高架桥前面36中学校门口 六化建家属楼,1室1厅|52平米|4/4层汤琴 整租 南北,600 ,元/月
檀溪路广电恒大对面电梯房，120平方，1600元/月价位实惠 檀溪府邸,3室2厅|120平米|6/26层彭军芳 整租 朝南,1600 ,元/月
山水檀溪山水家园3室-2厅-2卫整租 山水檀溪山水家园,3室2厅|145平米|4/4层 整租 南北,1800 ,元/月
鼓楼 昭明 一实小对面 精装两室 昭明台社区,2室2厅|95平米|4/6层丁月 整租 南北,1600 ,元/月
襄城四中义教部一房一厅全新装修没住过陪读好去处只要1500元 四中小学家属院,1室1厅|30平米|2/5层甘雪峰 整租 朝南,1500 ,元/月
业主急租 万山轴承厂家属院80平2室 1200每月急急急 轴承厂家属区,2室2厅|80平米|4/7层秦萍萍 整租 南北,1200 ,元/月
安厦好房 檀溪中路水园对面金园小区 大两室家具家电齐全 金园小区,2室2厅|102平米|2/7层李莉 整租 南北,1800 ,元/月
荆州街一区 3室1厅1卫 暂无小区,3室1厅|90平米|2/6层袁女士 整租 南北,1800 ,元/月
安厦优选 襄城 东门口 北京公馆附近 王家洼1室1厅400元 北京公馆,1室1厅|40平米|1/3层王春红 整租 朝南,350 ,元/月
山水檀溪秀园 2室2厅1卫 山水檀溪秀园,2室2厅|85平米|8/15层韩岚女士 整租 朝南,2000 ,元/月
选择小区2室-2厅-1卫整租 骧龙国际,2室2厅|93平米|1/21层 整租 南北,500 ,元/月
襄城区 在水一方小区好楼层 4楼 三室两厅出租！ 在水一方,3室2厅|108平米|4/7层窦金芬 整租 南北,1700 ,元/月
四中冯家巷单间陪读 精装修，家电家具齐全四中隔壁单位 四中小学家属院,1室1厅|30平米|2/6层崔贵波 整租 朝南,1400 ,元/月
襄城十字街中心医院附近四中校区房精装1室一卫出租看房方便 陈候小区,1室1厅|45平米|2/4层潘宗奎 整租 南北,1000 ,元/月
恒大名都，三室大房，采光好，小区环境好，适合办公和居住。 恒大名都,3室2厅|120平米|4/23层杨洁 整租 南北,2300 ,元/月
襄城区卧龙镇 3室1厅2卫 暂无小区,3室1厅|460平米|1/1层朱老师先生 整租 南北,2506 ,元/月
业主急租急急 万山轴承厂2室便宜出租带部分家私 轴承厂家属区,2室1厅|57平米|6/6层胡金凤 整租 南北,600 ,元/月
安厦好房 檀溪恒大名都对面小区 三室简单家具 看房方便 檀溪府邸,3室2厅|120平米|5/26层张曼 整租 南北,2200 ,元/月
浩然居 2室1厅1卫 暂无小区,2室1厅|84平米|15/18层王秀华女士 整租 南北,1700 ,元/月
襄阳市印染厂路南3号楼 2室1厅1卫 暂无小区,2室1厅|50平米|4/5层李春林女士 整租 南北,500 ,元/月
金园小区2室-2厅-1卫整租 金园小区,2室2厅|106平米|2/8层 整租 朝南,1700 ,元/月
檀溪中路 山水檀溪秀园 大3室 电梯房出租 租办公 可打广告 山水檀溪秀园,3室2厅|110平米|8/18层黄虹玲 整租 南北,1600 ,元/月
西门桥建行家属院 中间楼层 拎包入住 精装修 昭明台社区,2室2厅|82平米|3/7层黄虹玲 整租 南北,1800 ,元/月
离鼓楼一站路程两室两厅一卫拎包入住1500 襄城春天,2室2厅|85平米|2/6层李贵花 整租 南北,1500 ,元/月
西街西门桥附近 精装修两室 拎包入住 环境好 停车方便 利民小区,2室2厅|80平米|2/6层周冲 整租 朝南,1800 ,元/月
襄城东门口气象局附近红旗小区70平米中间楼二室简装1200元 红旗小区,2室1厅|70平米|3/8层孙世秀 整租 南北,1200 ,元/月
西门桥农校家属院一居室出租 襄城春天,1室1厅|50平米|3/6层谢虹 整租 南北,1500 ,元/月
爱尚居 城南经典5楼2室2厅，精装家具家电齐全。2000元。 华康城南经典,2室2厅|98平米|5/6层李桂群 整租 南北,2000 ,元/月
鱼梁洲锦绣家园，3室2厅，家具家电齐全 锦绣家园,3室2厅|93平米|3/6层张志群 整租 南北,1400 ,元/月
2楼！襄城昭明旁鼓楼商圈地段单位精装两房 建行檀溪支行家属院,2室2厅|72平米|1/6层张超 整租 南北,1800 ,元/月
檀溪路山水家园，新建高档小区，精装，可拎包入住 山水檀溪山水家园,3室2厅|111平米|21/22层程有哲 整租 南北,2500 ,元/月
